World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
666Top 3.3%,Sharif University of Technology,Iran,4,420,-,-,633,72.7
667Top 3.3%,University of Kent,United Kingdom,44,-,913,-,640,72.7
668Top 3.3%,University of Galway,Ireland,4,242,1603,-,653,72.7
669Top 3.3%,Semmelweis University,Hungary,2,-,-,-,634,72.7
670Top 3.3%,Henryk Niewodniczański Institute of Nuclear Physics,Poland,4,-,-,-,637,72.7
671Top 3.3%,"University of Nevada, Reno",USA,162,-,1241,-,638,72.7
672Top 3.3%,Army Medical University,China,96,-,-,-,641,72.7
673Top 3.3%,ShanghaiTech University,China,97,-,-,-,643,72.7
674Top 3.3%,Tilburg University,Netherlands,13,-,398,-,667,72.7
675Top 3.3%,Hong Kong Baptist University,China,98,-,1566,-,644,72.7
676Top 3.3%,Sejong University,South Korea,19,-,-,-,645,72.6
677Top 3.3%,Nanjing University of Posts and Telecommunications,China,99,-,743,-,654,72.6
678Top 3.4%,Boğaziçi University,Turkey,4,-,467,-,664,72.6
679Top 3.4%,University of Plymouth,United Kingdom,45,-,1640,-,646,72.6
680Top 3.4%,Wenzhou Medical University,China,100,-,-,-,647,72.6
681Top 3.4%,University of Fribourg,Switzerland,10,-,287,-,691,72.6
682Top 3.4%,University of Angers,France,31,-,-,-,649,72.6
683Top 3.4%,National University of La Plata,Argentina,2,-,1575,-,651,72.6
684Top 3.4%,University of Oklahoma Health Sciences Center,USA,163,-,-,-,650,72.6
685Top 3.4%,Northeast Normal University,China,101,-,1464,-,652,72.6
686Top 3.4%,Taipei Medical University,Taiwan,8,-,-,-,655,72.6
687Top 3.4%,Istanbul University,Turkey,5,472,1154,-,656,72.6
688Top 3.4%,Beijing University of Posts and Telecommunications,China,102,-,504,-,671,72.6
689Top 3.4%,Yokohama City University,Japan,18,-,190,-,730,72.5
690Top 3.4%,University of Maine,USA,164,338,1214,125,905,72.5
691Top 3.4%,University of Wyoming,USA,165,-,834,-,660,72.5
692Top 3.4%,COMSATS University Islamabad,Pakistan,1,-,-,-,657,72.5
693Top 3.4%,Shanxi University,China,103,-,1657,-,658,72.5
694Top 3.4%,Institut national des sciences appliquées de Lyon,France,32,-,1232,-,659,72.5
695Top 3.4%,Sciences Po,France,33,-,61,68,-,72.5
696Top 3.4%,Rio de Janeiro State University,Brazil,8,-,1257,-,661,72.5
697Top 3.4%,University of North Texas,USA,166,-,748,-,670,72.5
698Top 3.4%,Oswaldo Cruz Foundation,Brazil,9,-,-,-,662,72.5
699Top 3.5%,Tokyo Medical and Dental University,Japan,19,-,-,-,665,72.5
700Top 3.5%,Heriot-Watt University,United Kingdom,46,-,531,-,683,72.5
701Top 3.5%,Binghamton University,USA,167,310,325,158,919,72.4
702Top 3.5%,Haverford College,USA,168,20,915,-,-,72.4
703Top 3.5%,Harbin Medical University,China,104,-,-,-,666,72.4
704Top 3.5%,Victoria University of Wellington,New Zealand,4,389,864,-,674,72.4
705Top 3.5%,Guangxi University,China,105,-,-,-,668,72.4
706Top 3.5%,Chungnam National University,South Korea,20,-,1492,-,669,72.4
707Top 3.5%,Cold Spring Harbor Laboratory,USA,169,-,-,102,959,72.4
708Top 3.5%,University of Szeged,Hungary,3,453,-,197,802,72.4
709Top 3.5%,Shinshu University,Japan,20,-,1559,-,673,72.4
710Top 3.5%,University of Poitiers,France,34,342,-,-,677,72.4
711Top 3.5%,Massey University,New Zealand,5,-,910,-,676,72.4
712Top 3.5%,Roma Tre University,Italy,36,-,-,-,675,72.4
713Top 3.5%,Loyola University Chicago,USA,170,364,1031,-,682,72.4
714Top 3.5%,American University of Beirut,Lebanon,1,159,213,-,768,72.3
715Top 3.5%,Inha University,South Korea,21,-,783,-,684,72.3
716Top 3.5%,University of Jinan,China,106,-,1410,-,679,72.3
717Top 3.5%,University of Texas Medical Branch,USA,171,-,-,-,678,72.3
718Top 3.5%,Federal University of Santa Catarina,Brazil,10,-,1343,-,681,72.3
719Top 3.6%,"University of Natural Resources and Life Sciences, Vienna",Austria,8,-,-,-,680,72.3
