Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
101-150,Pennsylvania State University - University Park,40-54,9.2,http://www.shanghairanking.com/_uni/logo/1069b7da2.png,http://www.shanghairanking.com/institution/pennsylvania-state-university-university-park
101-150,The University of Adelaide,8,13.1,http://www.shanghairanking.com/_uni/logo/13e383993.png,http://www.shanghairanking.com/institution/the-university-of-adelaide
101-150,The University of Glasgow,9-16,15.1,http://www.shanghairanking.com/_uni/logo-jpg/f072bed2b00.jpg,http://www.shanghairanking.com/institution/the-university-of-glasgow
101-150,The University of Sheffield,9-16,16.9,http://www.shanghairanking.com/_uni/logo/08629522c.png,http://www.shanghairanking.com/institution/the-university-of-sheffield
101-150,Université Grenoble Alpes,5-7,11.9,http://www.shanghairanking.com/_uni/logo/85f28315e.png,http://www.shanghairanking.com/institution/universit-grenoble-alpes
101-150,Université libre de Bruxelles (ULB),3,18.5,http://www.shanghairanking.com/_uni/logo/64cca2113.png,http://www.shanghairanking.com/institution/universit-libre-de-bruxelles-ulb
101-150,University of Amsterdam,4-6,0.0,http://www.shanghairanking.com/_uni/logo/054e1350c.png,http://www.shanghairanking.com/institution/university-of-amsterdam
101-150,University of Arizona,40-54,14.1,http://www.shanghairanking.com/_uni/logo/b51ca4f00.png,http://www.shanghairanking.com/institution/university-of-arizona
101-150,University of Bern,5-7,11.9,http://www.shanghairanking.com/_uni/logo/0881a5f78.png,http://www.shanghairanking.com/institution/university-of-bern
101-150,University of Birmingham,9-16,16.9,http://www.shanghairanking.com/_uni/logo/aac49270e.png,http://www.shanghairanking.com/institution/university-of-birmingham
101-150,"University of California, Davis",40-54,13.1,http://www.shanghairanking.com/_uni/logo/59eef6399.png,http://www.shanghairanking.com/institution/university-of-california-davis
101-150,University of Exeter,9-16,0.0,http://www.shanghairanking.com/_uni/logo/e757ee576.png,http://www.shanghairanking.com/institution/university-of-exeter
101-150,University of Freiburg,5,21.4,http://www.shanghairanking.com/_uni/logo/023a63f53.png,http://www.shanghairanking.com/institution/university-of-freiburg
101-150,University of Gothenburg,4,0.0,http://www.shanghairanking.com/_uni/logo/2419f8b06.png,http://www.shanghairanking.com/institution/university-of-gothenburg
101-150,University of Lausanne,5-7,16.9,http://www.shanghairanking.com/_uni/logo/5051a54b0.png,http://www.shanghairanking.com/institution/university-of-lausanne
101-150,University of Liverpool,9-16,15.1,http://www.shanghairanking.com/_uni/logo/d951c4194.png,http://www.shanghairanking.com/institution/university-of-liverpool
101-150,University of Montreal,6,10.7,http://www.shanghairanking.com/_uni/logo/b0c53560f.png,http://www.shanghairanking.com/institution/university-of-montreal
101-150,University of Nottingham,9-16,19.2,http://www.shanghairanking.com/_uni/logo/0bf332f99.png,http://www.shanghairanking.com/institution/university-of-nottingham
101-150,University of Sao Paulo,1,0.0,http://www.shanghairanking.com/_uni/logo/439ebbf7b.png,http://www.shanghairanking.com/institution/university-of-sao-paulo
101-150,University of Strasbourg,5-7,26.7,http://www.shanghairanking.com/_uni/logo/cffce1361.png,http://www.shanghairanking.com/institution/university-of-strasbourg
